,theater,poster,exact_match,title,year,date,time,link,score,rt_link
115,Coolidge,"<img src=""https://resizing.flixster.com/Lg7buyFpLtCAmP44CYN07MtIufw=/fit-in/80x126/v2/https://resizing.flixster.com/bD1lsmNcEO39J3kWusIv_Ax4G3I=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzg5NTE5YjU4LWVlNDYtNDU2NC04NTI0LWY1OTM1Yjg0OWQyZS5qcGc="">", ,Rustin,2023,11-16,9:30 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=835210~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,83.0,<a href=https://www.rottentomatoes.com/m/rustin_2023>🍅</a>
96,Coolidge,"<img src=""https://resizing.flixster.com/KkTtCdCdNBYMX7TKogiPhskF18I=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8078163_p_v8_ad.jpg"">",?,The Killer (2023),2010,11-16,9:45 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=835206~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,96.0,<a href=https://www.rottentomatoes.com/m/the-social-network>🍅</a>
50,Coolidge,"<img src=""https://resizing.flixster.com/E1RBNkeI5gZtbqucY7waXKgILIU=/fit-in/80x126/v2/https://resizing.flixster.com/Gfe3Lf75Qo5Pb0feNQ58BzwVBOA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzQ4N2I3NGFjLWY3NDAtNDVlMS05ODFmLTNmYjA5ZmE3NTViNi5qcGc="">", ,The Holdovers,2023,11-16,9:55 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=835153~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,96.0,<a href=https://www.rottentomatoes.com/m/the_holdovers>🍅</a>
150,Coolidge,"<img src=""https://resizing.flixster.com/UVnuD17xzlr5vlLg7mwUPxTrusc=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p29417_p_v8_au.jpg"">", ,Panic Room,2002,11-17,11:59 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=826987~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,76.0,<a href=https://www.rottentomatoes.com/m/panic_room>🍅</a>
151,Brattle,"<img src=""https://resizing.flixster.com/MibIYod8cuotNafXxfNbZiCQMGg=/fit-in/80x126/v2/https://resizing.flixster.com/vO6M80RWbIfPeQNlp8R7x-3HGCM=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2JjYjBmMjMyLWY3YjgtNDVmZi1hODZhLTY2NGQ3MDgzZTAwYy5qcGc="">", ,The Aggressives,2005,11-17,7:00 PM,<a href=https://brattlefilm.org/movies/the-aggressives/>🎟️</a>,91.0,<a href=https://www.rottentomatoes.com/m/the_aggressives>🍅</a>
152,Brattle,"<img src=""https://images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif"">",?,Beyond the Aggressives: 25 Years Later,2023,11-17,9:00 PM,<a href=https://brattlefilm.org/movies/beyond-the-aggressives-25-years-later/>🎟️</a>,,<a href=https://www.rottentomatoes.com/m/beyond_the_aggressives_25_years_later>🍅</a>
153,Coolidge,"<img src=""https://resizing.flixster.com/sBDMeXMqvy7mA1R9iaFtKtUrNLM=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p28125_v_v8_aa.jpg"">",?,Vanessa Trien & The Jumping Monkeys,2000,11-18,10:30 AM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=825882~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,42.0,<a href=https://www.rottentomatoes.com/m/the_monkeys_mask>🍅</a>
154,Coolidge,"<img src=""https://resizing.flixster.com/X8TE9hNd7VknrywUpNZtnDgMu6o=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p162782_p_v8_au.jpg"">", ,Zodiac,2007,11-18,11:30 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=826990~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,90.0,<a href=https://www.rottentomatoes.com/m/zodiac>🍅</a>
155,Brattle,"<img src=""https://resizing.flixster.com/A-BA9rjGgi8Qy5vypUOuxpmC2Hk=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p19076365_p_v10_aa.jpg"">",?,Shorts Program: Reel Queer Lives,2019,11-18,1:00 PM,<a href=https://brattlefilm.org/special_events/shorts-program-reel-queer-lives/>🎟️</a>,100.0,<a href=https://www.rottentomatoes.com/m/queer_japan>🍅</a>
156,Brattle,"<img src=""https://resizing.flixster.com/cJDdp_zGFILiTddUWN3s03uE5sE=/fit-in/80x126/v2/https://resizing.flixster.com/kCU3OPI5jaTNY2Ii6PAg3Hb-2Zc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2IwZDgyZWU1LWI0NWYtNGJjYS1hOWQzLWFhYzVlZWNkODI2Zi5qcGc="">", ,Who I Am Not,2023,11-18,4:00 PM,<a href=https://brattlefilm.org/movies/who-i-am-not/>🎟️</a>,100.0,<a href=https://www.rottentomatoes.com/m/who_i_am_not>🍅</a>
