,theater,poster,exact_match,title,year,date,time,link,score,rt_link
261,Coolidge,"<img src=""https://resizing.flixster.com/0846WcahfcdRun-pDrSNJmBYbxM=/fit-in/80x126/v2/https://resizing.flixster.com/p78CBYP1LZ5ZtyD594wOS2t9B0s=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2I1MzBlZjJlLTdlZTktNDg4ZS1hZGFmLThmMDc5MDEzNGQwZi5qcGc="">", ,The Babadook,2014,12-09,11:59 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=834817~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,98.0,<a href=https://www.rottentomatoes.com/m/the_babadook>🍅</a>
238,Coolidge,"<img src=""https://resizing.flixster.com/snmxMpSqxg4qU3PGHr2CURvxwV0=/fit-in/80x126/v2/https://resizing.flixster.com/0Oe6rH2oANJS1StF90UHI5JW9KE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2NiZDQ2ODdhLWU4OTQtNDhhOC05NzkyLWE4NWIyYTVlMDZiZi5qcGc="">",?,RENAISSANCE: A FILM BY BEYONCÉ,2023,12-09,7:30 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=829924~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,,<a href=https://www.rottentomatoes.com/m/renaissance_a_film_by_beyonce>🍅</a>
248,Brattle,"<img src=""https://resizing.flixster.com/hYJh0JZM44XedCtqlDvKlvBhLro=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/79315/79315_aa.jpg"">", ,Fantastic Mr. Fox,2009,12-09,"9:00 PM
",<a href=https://brattlefilm.org/movies/fantastic-mr-fox/>🎟️</a>,93.0,<a href=https://www.rottentomatoes.com/m/1197696-fantastic_mr_fox>🍅</a>
259,Brattle,"<img src=""https://resizing.flixster.com/PBcpQv_jUKuq_iYQ1egLCKyMaEY=/fit-in/80x126/v2/https://resizing.flixster.com/03sYgvaSfdVQ3vW-RfwI7eBGkvw=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzllZjQzNTA1LWNhNjMtNDRjMi05ZmJmLWZmNTc2NjIxNzdhYy5qcGc="">", ,"Orlando, My Political Biography",2023,12-09,"9:15 PM
",<a href=https://brattlefilm.org/movies/orlando-my-political-biography/>🎟️</a>,90.0,<a href=https://www.rottentomatoes.com/m/orlando_my_political_biography>🍅</a>
262,Coolidge,"<img src=""https://resizing.flixster.com/kYNm4U-CTiqQjVlNsxRSN3BEeys=/fit-in/80x126/v2/https://resizing.flixster.com/GetNs-JTUklwM6vIdeVHiHGAdU4=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzcyY2VjYmJhLTVkZGItNGNiOC05YzM2LTNkNzM1NGM0NzY4YS5qcGc="">", ,Sisi & I,2023,12-10,11:00 AM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=828572~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,80.0,<a href=https://www.rottentomatoes.com/m/sisi_and_i>🍅</a>
239,Coolidge,"<img src=""https://resizing.flixster.com/snmxMpSqxg4qU3PGHr2CURvxwV0=/fit-in/80x126/v2/https://resizing.flixster.com/0Oe6rH2oANJS1StF90UHI5JW9KE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2NiZDQ2ODdhLWU4OTQtNDhhOC05NzkyLWE4NWIyYTVlMDZiZi5qcGc="">",?,RENAISSANCE: A FILM BY BEYONCÉ,2023,12-10,7:30 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=829925~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,,<a href=https://www.rottentomatoes.com/m/renaissance_a_film_by_beyonce>🍅</a>
252,Brattle,"<img src=""https://resizing.flixster.com/aRWOPr0SHLFZUkmWPBJ6O-dqk6Q=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p18307_p_v8_an.jpg"">", ,Matilda,1996,12-10,9:15 PM,<a href=https://brattlefilm.org/movies/matilda/>🎟️</a>,92.0,<a href=https://www.rottentomatoes.com/m/1072107-matilda>🍅</a>
263,Coolidge,"<img src=""https://resizing.flixster.com/MNJByQBlC-sa6Ehy1K8ywhYZ2ew=/fit-in/80x126/v2/https://resizing.flixster.com/Xq4vpHcKXVEUJbxBrbG-ymJoP2I=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2ExMTAzNjE4LTYxNjItNGQyZi1hOWI0LThlNzIwNGRhY2NjZC53ZWJw"">", ,Phantom Thread,2017,12-11,7:00 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=820172~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,91.0,<a href=https://www.rottentomatoes.com/m/phantom_thread>🍅</a>
142,Coolidge,"<img src=""https://resizing.flixster.com/xnJ1zySlYy9z6DEuJrp63OVkTJk=/fit-in/80x126/v2/https://resizing.flixster.com/Yl25RfNZLUFRCsVJhnPR3I4gUZU=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzU2NGNkYWIwLWE2NWMtNDUwYy1iY2NhLTcyYTRjZmU4MGZkMy5qcGc="">",?,Boston Open Screen,2023,12-12,7:00 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=830769~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,68.0,<a href=https://www.rottentomatoes.com/m/boston_strangler_2023>🍅</a>
264,Coolidge,"<img src=""https://resizing.flixster.com/nH4k5l67nqVF6RKVHdWrItTL258=/fit-in/80x126/v2/https://resizing.flixster.com/dS5zfdgNs8rtakOMl7xnh-R7zS4=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2M4ZTQ0ODVhLWYxNjItNGFmNC04OTk1LTYyNjY2ZjI0YmJkYi5qcGc="">", ,Shiva Baby,2020,12-12,7:00 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=834490~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,97.0,<a href=https://www.rottentomatoes.com/m/shiva_baby>🍅</a>
265,Brattle,"<img src=""https://resizing.flixster.com/yqQ6y7r0QNy-xTA0BuRX9vf0a4k=/fit-in/80x126/v2/https://resizing.flixster.com/z4xZi8mh5SmaZz91-z20D6kgJ3A=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzQ2ODUwNzA0LTIxYjctNGQzMi1hOTYwLWI2NGEwOGIxNDljZi5qcGc="">",?,Grrl Haus Cinema,2021,12-14,7:00 PM,<a href=https://brattlefilm.org/special_events/grrl-haus-cinema/>🎟️</a>,86.0,<a href=https://www.rottentomatoes.com/m/cinema_sabaya>🍅</a>
266,Coolidge,"<img src=""https://resizing.flixster.com/jalpLmzCFBHbliSYwCGwdNz8-t0=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p629_p_v8_af.jpg"">", ,Monty Python and the Holy Grail,1975,12-14,7:00 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=834488~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,96.0,<a href=https://www.rottentomatoes.com/m/monty_python_and_the_holy_grail>🍅</a>
267,Coolidge,"<img src=""https://resizing.flixster.com/toWI25Hxv37qzAwFuZlGtNlRYrM=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8609180_p_v8_aa.jpg"">",?,Fando y Lis,1968,12-15,11:59 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=834822~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,73.0,<a href=https://www.rottentomatoes.com/m/fando_and_lis>🍅</a>
268,Brattle,"<img src=""https://resizing.flixster.com/Xz1fIf7vAkRJ_JTNDV3-AD0X4bE=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10255_p_v8_aw.jpg"">", ,Die Hard,1988,12-15,9:30 PM,<a href=https://brattlefilm.org/movies/die-hard/>🎟️</a>,94.0,<a href=https://www.rottentomatoes.com/m/die_hard>🍅</a>
269,Coolidge,"<img src=""https://resizing.flixster.com/g2TpFi9_I5QKpbRUR0xJUIBVJSI=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p90333_p_v8_aa.jpg"">",?,The Airborne Comedians,2005,12-16,10:30 AM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=824061~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,44.0,<a href=https://www.rottentomatoes.com/m/comedians_of_comedy_live_at_the_el_rey>🍅</a>
270,Coolidge,"<img src=""https://resizing.flixster.com/NUIBzBF1QZbGmJ6c8rF3JF3UwZs=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p19874_p_v8_aa.jpg"">", ,Gummo,1997,12-16,11:59 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=834824~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,38.0,<a href=https://www.rottentomatoes.com/m/gummo>🍅</a>
271,Brattle,"<img src=""https://resizing.flixster.com/IMbX_CFObQU1eXyz2re6ZbcCVpE=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p22544_p_v8_ae.jpg"">", ,Go,1999,12-16,"9:30 PM
",<a href=https://brattlefilm.org/movies/go/>🎟️</a>,91.0,<a href=https://www.rottentomatoes.com/m/1087053-go>🍅</a>
272,Brattle,"<img src=""https://resizing.flixster.com/QmSdFD5iEWH7pXddzskXU8JzB1k=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8336137_p_v8_ai.jpg"">",?,Rare Exports,2010,12-17,"9:30 PM
",<a href=https://brattlefilm.org/movies/rare-exports/>🎟️</a>,89.0,<a href=https://www.rottentomatoes.com/m/rare_exports>🍅</a>
273,Coolidge,"<img src=""https://resizing.flixster.com/nd9JY9R3fLMYUeDRbDPRe9QQzSQ=/fit-in/80x126/v2/https://resizing.flixster.com/rYcj2hcdp1ffcGQQKtdmKhF82IE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzdmMTk0MmQ2LTQzMmEtNGFmOC1hODEzLTRjNGRmOTFjYTQxNi53ZWJw"">",?,Little Women (1994),2019,12-18,7:00 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=819811~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,95.0,<a href=https://www.rottentomatoes.com/m/little_women_2019>🍅</a>
274,Brattle,"<img src=""https://resizing.flixster.com/NI_Lq38UxbtjeMrxcXGI4gcZIeI=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p23544_p_v12_ai.jpg"">", ,Eyes Wide Shut,1999,12-19,4:45 PM,<a href=https://brattlefilm.org/movies/eyes-wide-shut/>🎟️</a>,76.0,<a href=https://www.rottentomatoes.com/m/eyes_wide_shut>🍅</a>
276,Coolidge,"<img src=""https://resizing.flixster.com/t94Bv4s9bJPl91Ynx6gH5XQBz0g=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p13700_p_v8_aa.jpg"">",?,"Seminar: The 400 Blows


















Part of Seminar: The 400 Blows",1959,12-19,6:15 PM,<a href=https://store.coolidge.org/websales/pages/entrypoint.aspx?guid=af40b19d-8f88-4738-8fff-e4b782670065&amp;>🎟️</a>,99.0,<a href=https://www.rottentomatoes.com/m/400_blows>🍅</a>
277,Coolidge,"<img src=""https://resizing.flixster.com/t94Bv4s9bJPl91Ynx6gH5XQBz0g=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p13700_p_v8_aa.jpg"">",?,"The 400 Blows


















Part of Seminar: The 400 Blows",1959,12-19,7:00 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=834486~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,99.0,<a href=https://www.rottentomatoes.com/m/400_blows>🍅</a>
275,Brattle,"<img src=""https://resizing.flixster.com/NI_Lq38UxbtjeMrxcXGI4gcZIeI=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p23544_p_v12_ai.jpg"">", ,Eyes Wide Shut,1999,12-19,8:00 PM,<a href=https://brattlefilm.org/movies/eyes-wide-shut/>🎟️</a>,76.0,<a href=https://www.rottentomatoes.com/m/eyes_wide_shut>🍅</a>
278,Brattle,"<img src=""https://resizing.flixster.com/IkkuvAjPpFuAHwN4opNdCZ5Ac3M=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p55159_p_v8_aa.jpg"">", ,Night on Earth,1992,12-20,"5:00 PM
",<a href=https://brattlefilm.org/movies/night-on-earth/>🎟️</a>,76.0,<a href=https://www.rottentomatoes.com/m/night_on_earth>🍅</a>
280,Coolidge,"<img src=""https://resizing.flixster.com/MftrGpFs_bx0YWTOln6JjMB2w_I=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p17659_p_v12_ae.jpg"">", ,Big Night,1996,12-20,7:00 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=834491~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,97.0,<a href=https://www.rottentomatoes.com/m/big_night>🍅</a>
279,Brattle,"<img src=""https://resizing.flixster.com/IkkuvAjPpFuAHwN4opNdCZ5Ac3M=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p55159_p_v8_aa.jpg"">", ,Night on Earth,1992,12-20,"8:00 PM
",<a href=https://brattlefilm.org/movies/night-on-earth/>🎟️</a>,76.0,<a href=https://www.rottentomatoes.com/m/night_on_earth>🍅</a>
281,Brattle,"<img src=""https://resizing.flixster.com/PdR4K5nAjQU6oEOxkzYchEHclgU=/fit-in/80x126/v2/https://resizing.flixster.com/jdxFqtou2Vvgsi6yicMdE-3m49I=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzU1MTI1ZjA3LWM0NjgtNDc4ZS1iNzExLTYxZmZlYjE1MTFhMi5qcGc="">", ,The Green Knight,2021,12-21,6:00 PM,<a href=https://brattlefilm.org/movies/the-green-knight/>🎟️</a>,89.0,<a href=https://www.rottentomatoes.com/m/the_green_knight>🍅</a>
283,Coolidge,"<img src=""https://resizing.flixster.com/0NyJrqCWCkjlrglUGDgmImOekS0=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p18758_p_v10_ap.jpg"">", ,Jingle All the Way,1996,12-21,7:00 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=819794~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,19.0,<a href=https://www.rottentomatoes.com/m/jingle_all_the_way>🍅</a>
282,Brattle,"<img src=""https://resizing.flixster.com/PdR4K5nAjQU6oEOxkzYchEHclgU=/fit-in/80x126/v2/https://resizing.flixster.com/jdxFqtou2Vvgsi6yicMdE-3m49I=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzU1MTI1ZjA3LWM0NjgtNDc4ZS1iNzExLTYxZmZlYjE1MTFhMi5qcGc="">", ,The Green Knight,2021,12-21,8:45 PM,<a href=https://brattlefilm.org/movies/the-green-knight/>🎟️</a>,89.0,<a href=https://www.rottentomatoes.com/m/the_green_knight>🍅</a>
284,Coolidge,"<img src=""https://resizing.flixster.com/OmygMCFzsykyaGMEwFXGrfFcbok=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p20506_p_v8_aa.jpg"">",?,Buffalo ’66,1998,12-22,11:59 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=834818~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,76.0,<a href=https://www.rottentomatoes.com/m/buffalo_66>🍅</a>
285,Brattle,"<img src=""https://resizing.flixster.com/1q3V6IDpEaoTj9q5y4S_3WzlFFs=/fit-in/80x126/v2/https://resizing.flixster.com/uVJY0soWQZExrt3WsubXDjUHLmg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2M3OTVlMWNkLTQ0ZDYtNDRjNi1hY2M4LTNhOGRjNWE4NGRmMC5qcGc="">", ,Touch of Evil,1958,12-22,"4:00 PM
",<a href=https://brattlefilm.org/movies/touch-of-evil/>🎟️</a>,95.0,<a href=https://www.rottentomatoes.com/m/touch_of_evil>🍅</a>
286,Brattle,"<img src=""https://resizing.flixster.com/1q3V6IDpEaoTj9q5y4S_3WzlFFs=/fit-in/80x126/v2/https://resizing.flixster.com/uVJY0soWQZExrt3WsubXDjUHLmg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2M3OTVlMWNkLTQ0ZDYtNDRjNi1hY2M4LTNhOGRjNWE4NGRmMC5qcGc="">", ,Touch of Evil,1958,12-22,"9:00 PM
",<a href=https://brattlefilm.org/movies/touch-of-evil/>🎟️</a>,95.0,<a href=https://www.rottentomatoes.com/m/touch_of_evil>🍅</a>
288,Coolidge,"<img src=""https://resizing.flixster.com/2ENPotXc-h1GrW0Dc1OQCnaSjuU=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p14445_p_v12_aw.jpg"">", ,The Muppet Christmas Carol,1992,12-23,10:30 AM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=824065~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,77.0,<a href=https://www.rottentomatoes.com/m/muppet_christmas_carol>🍅</a>
290,Coolidge,"<img src=""https://resizing.flixster.com/StmCCl7Do8MALQLnKlLq3LlRzNY=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8575826_p_v8_aa.jpg"">", ,Beyond the Black Rainbow,2011,12-23,11:59 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=834815~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,62.0,<a href=https://www.rottentomatoes.com/m/beyond_the_black_rainbow_2012>🍅</a>
287,Brattle,"<img src=""https://resizing.flixster.com/1q3V6IDpEaoTj9q5y4S_3WzlFFs=/fit-in/80x126/v2/https://resizing.flixster.com/uVJY0soWQZExrt3WsubXDjUHLmg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2M3OTVlMWNkLTQ0ZDYtNDRjNi1hY2M4LTNhOGRjNWE4NGRmMC5qcGc="">", ,Touch of Evil,1958,12-23,"6:30 PM
",<a href=https://brattlefilm.org/movies/touch-of-evil/>🎟️</a>,95.0,<a href=https://www.rottentomatoes.com/m/touch_of_evil>🍅</a>
289,Coolidge,"<img src=""https://resizing.flixster.com/2ENPotXc-h1GrW0Dc1OQCnaSjuU=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p14445_p_v12_aw.jpg"">", ,The Muppet Christmas Carol,1992,12-24,10:30 AM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=824066~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,77.0,<a href=https://www.rottentomatoes.com/m/muppet_christmas_carol>🍅</a>
291,Brattle,"<img src=""https://resizing.flixster.com/tsoY0sELqT-P5ojYc6T6LpoLz1E=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8660_p_v12_af.jpg"">", ,Gremlins,1984,12-25,2:15 PM,<a href=https://brattlefilm.org/movies/gremlins/>🎟️</a>,86.0,<a href=https://www.rottentomatoes.com/m/gremlins>🍅</a>
293,Brattle,"<img src=""https://resizing.flixster.com/vwTv_kSNeMR88sv1Aj6XVYtFn1c=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9831_p_v8_at.jpg"">", ,Lethal Weapon,1987,12-25,4:30 PM,<a href=https://brattlefilm.org/movies/lethal-weapon/>🎟️</a>,80.0,<a href=https://www.rottentomatoes.com/m/lethal_weapon>🍅</a>
292,Brattle,"<img src=""https://resizing.flixster.com/tsoY0sELqT-P5ojYc6T6LpoLz1E=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8660_p_v12_af.jpg"">", ,Gremlins,1984,12-25,7:00 PM,<a href=https://brattlefilm.org/movies/gremlins/>🎟️</a>,86.0,<a href=https://www.rottentomatoes.com/m/gremlins>🍅</a>
294,Brattle,"<img src=""https://resizing.flixster.com/vwTv_kSNeMR88sv1Aj6XVYtFn1c=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9831_p_v8_at.jpg"">", ,Lethal Weapon,1987,12-25,9:15 PM,<a href=https://brattlefilm.org/movies/lethal-weapon/>🎟️</a>,80.0,<a href=https://www.rottentomatoes.com/m/lethal_weapon>🍅</a>
295,Brattle,"<img src=""https://resizing.flixster.com/m2L6535A1bIsvdcnB-v0MaFyCNA=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p40_p_v8_ar.jpg"">", ,The Shining,1980,12-26,2:00 PM,<a href=https://brattlefilm.org/movies/the-shining/>🎟️</a>,83.0,<a href=https://www.rottentomatoes.com/m/shining>🍅</a>
296,Brattle,"<img src=""https://resizing.flixster.com/m2L6535A1bIsvdcnB-v0MaFyCNA=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p40_p_v8_ar.jpg"">", ,The Shining,1980,12-26,5:00 PM,<a href=https://brattlefilm.org/movies/the-shining/>🎟️</a>,83.0,<a href=https://www.rottentomatoes.com/m/shining>🍅</a>
297,Brattle,"<img src=""https://resizing.flixster.com/m2L6535A1bIsvdcnB-v0MaFyCNA=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p40_p_v8_ar.jpg"">", ,The Shining,1980,12-26,8:00 PM,<a href=https://brattlefilm.org/movies/the-shining/>🎟️</a>,83.0,<a href=https://www.rottentomatoes.com/m/shining>🍅</a>
298,Brattle,"<img src=""https://resizing.flixster.com/SAJ5ZoPDpVbgVNuoRYWCe76W1LI=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p581_p_v13_at.jpg"">", ,Private Benjamin,1980,12-27,"4:15 PM
",<a href=https://brattlefilm.org/movies/private-benjamin/>🎟️</a>,83.0,<a href=https://www.rottentomatoes.com/m/private_benjamin>🍅</a>
300,Brattle,"<img src=""https://resizing.flixster.com/9xUktFLowP9_yg50rflaLdNrVxk=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11001_p_v8_ae.jpg"">", ,Crossing Delancey,1988,12-27,"6:30 PM
",<a href=https://brattlefilm.org/movies/crossing-delancey/>🎟️</a>,80.0,<a href=https://www.rottentomatoes.com/m/crossing_delancey>🍅</a>
299,Brattle,"<img src=""https://resizing.flixster.com/SAJ5ZoPDpVbgVNuoRYWCe76W1LI=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p581_p_v13_at.jpg"">", ,Private Benjamin,1980,12-27,"8:30 PM
",<a href=https://brattlefilm.org/movies/private-benjamin/>🎟️</a>,83.0,<a href=https://www.rottentomatoes.com/m/private_benjamin>🍅</a>
301,Brattle,"<img src=""https://resizing.flixster.com/265cPB14WPl3LxRn43YsP0cYKKs=/fit-in/80x126/v2/https://resizing.flixster.com/TSXIwVS-Bt-y39e-4n7i-YTptB4=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2QwNTMzNjgyLWM0YjktNDBhZC04ZDRlLTczOGE2ZmJjODJkZS5qcGc="">", ,Beetlejuice,1988,12-28,5:00 PM,<a href=https://brattlefilm.org/movies/beetlejuice/>🎟️</a>,86.0,<a href=https://www.rottentomatoes.com/m/beetlejuice>🍅</a>
302,Brattle,"<img src=""https://resizing.flixster.com/265cPB14WPl3LxRn43YsP0cYKKs=/fit-in/80x126/v2/https://resizing.flixster.com/TSXIwVS-Bt-y39e-4n7i-YTptB4=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2QwNTMzNjgyLWM0YjktNDBhZC04ZDRlLTczOGE2ZmJjODJkZS5qcGc="">", ,Beetlejuice,1988,12-28,7:00 PM,<a href=https://brattlefilm.org/movies/beetlejuice/>🎟️</a>,86.0,<a href=https://www.rottentomatoes.com/m/beetlejuice>🍅</a>
303,Brattle,"<img src=""https://resizing.flixster.com/265cPB14WPl3LxRn43YsP0cYKKs=/fit-in/80x126/v2/https://resizing.flixster.com/TSXIwVS-Bt-y39e-4n7i-YTptB4=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2QwNTMzNjgyLWM0YjktNDBhZC04ZDRlLTczOGE2ZmJjODJkZS5qcGc="">", ,Beetlejuice,1988,12-28,9:00 PM,<a href=https://brattlefilm.org/movies/beetlejuice/>🎟️</a>,86.0,<a href=https://www.rottentomatoes.com/m/beetlejuice>🍅</a>
304,Coolidge,"<img src=""https://resizing.flixster.com/2gvVx-uxLERUYoRtbsRkEdCdb8w=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p41351_p_v8_aa.jpg"">", ,Shivers,1975,12-29,11:59 PM,<a href=https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=834820~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;>🎟️</a>,85.0,<a href=https://www.rottentomatoes.com/m/1021211-shivers>🍅</a>
305,Brattle,"<img src=""https://resizing.flixster.com/sAWrV3Id9lHPK3ADtAi3T3JLvl8=/fit-in/80x126/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9385_p_v8_aa.jpg"">", ,Under the Cherry Moon,1986,12-29,"4:45 PM
",<a href=https://brattlefilm.org/movies/under-the-cherry-moon/>🎟️</a>,36.0,<a href=https://www.rottentomatoes.com/m/under_the_cherry_moon>🍅</a>
