title,poster,year,cast,score,cert,rt_link,exact_match,query_str,listing_title
Judgment at Nuremberg,https://resizing.flixster.com/aOTyYtddK0xgxGITaMOzF6Nqxj4=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p2664_p_v8_ab.jpg,1961,"Spencer Tracy,Burt Lancaster,Richard Widmark",92,fresh,https://www.rottentomatoes.com/m/judgment_at_nuremburg,False,Judgement at Nuremberg |,Judgement at Nuremberg
Only Lovers Left Alive,https://resizing.flixster.com/ZmcbvffHdiK_cLrxsU5idgSEFDo=/fit-in/80x126/v2/https://flxt.tmsimg.com/NowShowing/129337/129337_aa.jpg,2013,"Tilda Swinton,Tom Hiddleston,Anton Yelchin",86,certified-fresh,https://www.rottentomatoes.com/m/only_lovers_left_alive,True,Only Lovers Left Alive | Jim Jarmusch,Only Lovers Left Alive
The Train,https://resizing.flixster.com/_B-bArrY6XC6eI0P4RUZXmBssdM=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p549_p_v8_ab.jpg,1965,"Burt Lancaster,Paul Scofield,Jeanne Moreau",94,fresh,https://www.rottentomatoes.com/m/1037789-train,True,The Train |,The Train
Journey of the Hyena,https://resizing.flixster.com/bMlbrBstRFap1s8pZxZABdbf76c=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p25544_p_v8_aa.jpg,1973,"Christoph Colomb,Ousseynou Diop,Aminata Fall",88,fresh,https://www.rottentomatoes.com/m/touki-bouki,False,Touki Bouki |,Touki Bouki
Run Lola Run,https://resizing.flixster.com/cbgb87HW_b7UZ__nQc3v90tkbhs=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p23012_p_v8_aa.jpg,1998,"Franka Potente,Moritz Bleibtreu,Herbert Knaup",93,certified-fresh,https://www.rottentomatoes.com/m/run_lola_run,True,Run Lola Run |,Run Lola Run
The Sugarland Express,https://resizing.flixster.com/ucdRKP5GvsyXA0aLeI90LdeCXzY=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p3593_p_v8_ay.jpg,1974,"Goldie Hawn,William Atherton,Ben Johnson",87,certified-fresh,https://www.rottentomatoes.com/m/the_sugarland_express,False,Sugarland Express |,Sugarland Express
Duel,https://resizing.flixster.com/q9nz36DbPjPQE0UCaeMegZ1mcho=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p543_p_v8_ay.jpg,1971,"Dennis Weaver,Tim Herbert,Charles Seel",89,certified-fresh,https://www.rottentomatoes.com/m/1006345-duel,True,Duel |,Duel
Rushmore,https://resizing.flixster.com/t4QPqrBUn6pqlLSP6q33iVdDNbY=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p21677_p_v8_ae.jpg,1998,"Jason Schwartzman,Bill Murray,Olivia Williams",90,certified-fresh,https://www.rottentomatoes.com/m/rushmore,False,A Very Wes Anderson Afternoon | Wes Anderson,A Very Wes Anderson Afternoon
My Cousin Vinny,https://resizing.flixster.com/Qxej3HRtyJd_ln8qHpVsKdP-mCc=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p13817_p_v11_aj.jpg,1992,"Joe Pesci,Marisa Tomei,Ralph Macchio",87,certified-fresh,https://www.rottentomatoes.com/m/my_cousin_vinny,True,My Cousin Vinny | Jonathan Lynn,My Cousin Vinny
"The Godfather, Part II",https://resizing.flixster.com/f5xRetpEEZW1EFtBiDbhYUP0i6Q=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p6319_p_v8_bc.jpg,1974,"Al Pacino,Robert Duvall,Diane Keaton",96,certified-fresh,https://www.rottentomatoes.com/m/godfather_part_ii,False,The Godfather: Part II | Francis Ford Coppola,The Godfather: Part II
